"","full_ecosystem_type_name","type_area","nat1990","nat2014","nat2018","nat2022","prpnat1990","prpnat2014","prpnat2018","prpnat2022","ard9022","nat40_9022","prplost9040_9022","ard9018","nat40_9018","prplost9040_9018","A3_24","A2b_24","A3_18","A2b_18"
"1","1 Cool Temperate - Arid Predominantly Closed",14400400,12877200,12827200,12386400,12265600,0.894225160412211,0.890753034637927,0.860142773811839,0.851754117941168,19112.5,11921575,0.0742106203211878,17528.5714285714,12000771.4285714,0.0680604922986807,"LC","LC","LC","LC"
"2","1 Cool Temperate - Estuarine Lagoon",60071200,59625600,59599600,59533200,59522800,0.99258213586544,0.992149316144841,0.991043961166083,0.990870833277844,3212.5,59464975,0.00269389322707025,3300,59460600,0.00276726775076477,"LC","LC","LC","LC"
"3","1 Cool Temperate - Estuarine Lake",70921200,68022400,67492400,66871200,66722000,0.959126467121256,0.951653384319498,0.942894367269589,0.940790623960113,40637.5,65990525,0.0298706749541328,41114.2857142857,65966685.7142857,0.0302211372388255,"LC","LC","LC","LC"
"4","1 Cool Temperate - Large Fluvially Dominated",30199200,27718400,24856800,24431200,24252800,0.917852128533206,0.823094651513947,0.80900156295531,0.803094121698588,108300,22303400,0.19535759639806,117400,21848400,0.21177268529208,"LC","LC","LC","LC"
"5","1 Cool Temperate - Large Temporarily Closed",32830800,21665600,20192800,18828000,18636000,0.65991690729437,0.615056593199069,0.573485873021675,0.567637706056508,94675,16931850,0.218491525736652,101342.857142857,16598457.1428571,0.233879645943009,"LC","LC","LC","LC"
"6","1 Cool Temperate - Predominantly Open",152582000,116033200,109813200,105712000,105023600,0.760464537101362,0.719699571378013,0.692820909412644,0.688309237000433,344050,98830700,0.148254982194751,368614.285714286,97602485.7142857,0.15884000687488,"LC","LC","LC","LC"
"7","1 Cool Temperate - Small Fluvially Dominated",40000,40000,40000,32800,31200,1,1,0.82,0.78,275,26250,0.34375,257.142857142857,27142.8571428571,0.321428571428571,"LC","VU","LC","VU"
"8","1 Cool Temperate - Small Temporarily Closed",5180800,4017600,3965600,3873200,3853200,0.775478690549722,0.765441630636195,0.74760654725139,0.743746139592341,5137.5,3760725,0.0639374253285544,5157.14285714286,3759742.85714286,0.0641818854184445,"LC","LC","LC","LC"
"9","2 Warm Temperate - Estuarine Bay",30104800,22710400,21742800,21127200,21091600,0.754378039382424,0.722236985464112,0.701788419122532,0.700605883447158,50587.5,20181025,0.111375184937297,56542.8571428571,19883257.1428571,0.124486704643813,"LC","LC","LC","LC"
"10","2 Warm Temperate - Estuarine Lake",143432800,90528000,87932400,84534000,84126000,0.631152707051665,0.613056427818463,0.589363102442398,0.586518564791317,200062.5,80524875,0.110497580858961,214071.428571429,79824428.5714286,0.118234926526284,"LC","LC","LC","LC"
