"","outletID","I_EcoType1","estID","east_DD","south_DD","est_name","full_ecosystem_type_name","est_ecosystem_type_code","biogeographical_zone","efz_ha","condition24","condition18","condition11","fishing_effort24","fishing_effort18","fishing_effort11","hund_km_zone","hund_km_zone_cond","fish","fish2018","efz_area","mod11","mod18","mod24","pes11","pes18","pes24"
"1",1,"Cool Temperate Large Fluvially Dominated",1,16.4578039722222,-28.6357439722222,"Orange","1 Cool Temperate - Large Fluvially Dominated","C-LFD","aCTemp",3019.54107523,49.575,51.5125,55.85,"L","L","L",1,49.575,50,50,30190584.6029966,"Heavily","Heavily","Heavily","D","D","D"
"2",4,"Cool Temperate Arid Predominantly Closed",2,17.0506277777778,-29.6772694444444,"Buffels","1 Cool Temperate - Arid Predominantly Closed","C-APC","aCTemp",89.2121055198,43.81875,43.81875,66.475,"L","L","L",2,43.81875,30,30,875679.437154388,"Moderate","Heavily","Heavily","C","D","D"
"3",5,"Cool Temperate Arid Predominantly Closed",3,17.2592277777778,-30.2631916666667,"Swartlintjies","1 Cool Temperate - Arid Predominantly Closed","C-APC","aCTemp",134.6998018424,77.55,78.55,79,"N","N","N",3,81.3685368014769,80,80,1343368.68543892,"NearNatural","NearNatural","NearNatural","B","B","B"
"4",6,"Cool Temperate Arid Predominantly Closed",4,17.35873,-30.4726919444444,"Spoeg","1 Cool Temperate - Arid Predominantly Closed","C-APC","aCTemp",88.2036176816,87.2,88.7,82.925,"N","N","N",3,81.3685368014769,95,95,882036.165958766,"NearNatural","NearNatural","NearNatural","B","B","B"
"5",8,"Cool Temperate Arid Predominantly Closed",5,17.576563,-30.8467977777778,"Groen","1 Cool Temperate - Arid Predominantly Closed","C-APC","aCTemp",88.2705218338,79.54375,79.54375,81.275,"N","N","N",4,38.3547180760319,80,80,882381.88247095,"NearNatural","NearNatural","NearNatural","B","B","B"
"6",10,"Cool Temperate Arid Predominantly Closed",6,17.8484119722222,-31.2447797222222,"Sout (Noord)","1 Cool Temperate - Arid Predominantly Closed","C-APC","aCTemp",532.8342275871,31.53125,31.53125,50.1,"N","N","N",4,38.3547180760319,20,20,5328341.7539046,"Heavily","Severely","Severely","D","E","E"
"7",12,"Cool Temperate Predominantly Open",7,18.1871189722222,-31.7010439722222,"Olifants","1 Cool Temperate - Predominantly Open","C-PO","aCTemp",2778.735111851,68.425,69.925,69.925,"VH","VH","VH",5,68.0584365342045,40,40,27786396.4425456,"Moderate","Moderate","Moderate","C","C","C"
"8",14,"Cool Temperate Large Temporarily Closed",8,18.313416,-32.0846409972222,"Jakkals","1 Cool Temperate - Large Temporarily Closed","C-LTC","aCTemp",72.58256170149,54.025,49.7543614595211,52.45,"H","L","L",5,68.0584365342045,50,35,725825.614208563,"Heavily","Heavily","Heavily","D","D","D"
"9",15,"Cool Temperate Arid Predominantly Closed",9,18.3252699722222,-32.2045858333333,"Wadrift","1 Cool Temperate - Arid Predominantly Closed","C-APC","aCTemp",509.03086387702,47.825,36.5739589619795,33.95,"L","L","L",6,49.6248310262296,25,25,5090308.64294316,"Severely","Severely","Heavily","E","E","D"
"10",16,"Cool Temperate Estuarine Lake",10,18.3331739722222,-32.3159219444444,"Verlorenvlei","1 Cool Temperate - Estuarine Lake","C-EL","aCTemp",2276.2674508494,37.3125,50.3256488842065,54.25,"M","M","M",6,49.6248310262296,17.5,30,22762674.8110337,"Heavily","Heavily","Severely","D","D","E"
