"","full_ecosystem_type_name","B","D","E","C","A","tot_ext24","prp24_ab"
"1","1 Cool Temperate - Arid Predominantly Closed",3107786.73386864,5965988.08009755,5328341.7539046,0,0,14402116.5678708,0.215786806003341
"2","1 Cool Temperate - Estuarine Lagoon",60068831.4211718,0,0,0,0,60068831.4211718,1
"3","1 Cool Temperate - Estuarine Lake",0,0,26817236.4323961,44113530.7396032,0,70930767.1719994,0
"4","1 Cool Temperate - Large Fluvially Dominated",0,30190584.6029966,0,0,0,30190584.6029966,0
"5","1 Cool Temperate - Large Temporarily Closed",0,23092865.3590187,9304326.25794762,441928.478983781,0,32839120.0959501,0
"6","1 Cool Temperate - Predominantly Open",0,124811815.794555,0,27786396.4425456,0,152598212.237101,0
"7","1 Cool Temperate - Small Fluvially Dominated",39565.5144470274,0,0,0,0,39565.5144470274,1
"8","1 Cool Temperate - Small Temporarily Closed",942171.469326055,2972361.42300284,41063.5518247746,0,1220807.23073008,5176403.67488375,0.417853559325569
"9","2 Warm Temperate - Estuarine Bay",30105647.1283708,0,0,0,0,30105647.1283708,1
"10","2 Warm Temperate - Estuarine Lake",21682393.4635039,0,0,121741176.045728,0,143423569.509232,0.151177338129966
"11","2 Warm Temperate - Large Fluvially Dominated",0,0,0,5725821.12925239,0,5725821.12925239,0
"12","2 Warm Temperate - Large Temporarily Closed",38206193.6915807,10339074.7925784,4434697.00450157,11515616.4982437,4764085.33522408,69259667.3221285,0.620422833204626
"13","2 Warm Temperate - Predominantly Open",47766644.7320451,51319086.6435201,0,75924107.9882446,1682643.57543001,176692482.93924,0.279860735923211
"14","2 Warm Temperate - Small Fluvially Dominated",310894.201548768,0,0,0,913464.097024482,1224358.29857325,1
"15","2 Warm Temperate - Small Temporarily Closed",8697580.44386423,221668.853043823,1258161.00747209,2974404.9623452,2950905.90750477,16102721.1742301,0.723386204439196
"16","3 Subtropical - Estuarine Bay",0,0,28152019.8774511,0,0,28152019.8774511,0
"17","3 Subtropical - Estuarine Lake",0,736344820.013747,82407947.4473259,0,0,818752767.461073,0
"18","3 Subtropical - Large Fluvially Dominated",8426760.6920631,94533964.9988858,0,4697562.78887755,0,107658288.479826,0.0782732180777901
"19","3 Subtropical - Large Temporarily Closed",21461182.1360002,7138742.98274448,1396645.18110518,20515519.4561184,0,50512089.7559682,0.424872188810292
"20","3 Subtropical - Predominantly Open",45393606.3570323,0,11079821.293802,20605713.964773,1420000.40107787,78499142.0166852,0.59635819647761
"21","3 Subtropical - Small Temporarily Closed",9811836.82377797,308543.073648622,2251581.201632,5332387.0715132,2779555.4939839,20483903.6645557,0.614696911485157
"22","4 Tropical - Estuarine Lake",81662947.7243529,0,0,0,0,81662947.7243529,1
"23","Total",377684042.532953,1087239516.61784,172471841.009363,341374165.566229,15731462.0409752,1994501027.76736,0.197250088667198
