"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"1","1 Cool Temperate - Arid Predominantly Closed","aCTemp",14402116.5678708,"EN","PP","EN_PP","est"
"2","1 Cool Temperate - Estuarine Lagoon","aCTemp",60068831.4211718,"VU","MP","VU_MP","est"
"3","1 Cool Temperate - Estuarine Lake","aCTemp",70930767.1719994,"EN","PP","EN_PP","est"
"4","1 Cool Temperate - Large Fluvially Dominated","aCTemp",30190584.6029966,"EN","PP","EN_PP","est"
"5","1 Cool Temperate - Large Temporarily Closed","aCTemp",32839120.0959501,"EN","PP","EN_PP","est"
"6","1 Cool Temperate - Predominantly Open","aCTemp",152598212.237101,"EN","NP","EN_NP","est"
"7","1 Cool Temperate - Small Fluvially Dominated","aCTemp",39565.5144470274,"VU","WP","VU_WP","est"
"8","1 Cool Temperate - Small Temporarily Closed","aCTemp",5176403.67488375,"EN","MP","EN_MP","est"
"9","2 Warm Temperate - Estuarine Bay","bWTemp",30105647.1283708,"VU","MP","VU_MP","est"
"10","2 Warm Temperate - Estuarine Lake","bWTemp",143423569.509232,"LC","MP","LC_MP","est"
"11","2 Warm Temperate - Large Fluvially Dominated","bWTemp",5725821.12925239,"VU","NP","VU_NP","est"
"12","2 Warm Temperate - Large Temporarily Closed","bWTemp",69259667.3221285,"LC","PP","LC_PP","est"
"13","2 Warm Temperate - Predominantly Open","bWTemp",176692482.93924,"LC","PP","LC_PP","est"
"14","2 Warm Temperate - Small Fluvially Dominated","bWTemp",1224358.29857325,"LC","WP","LC_WP","est"
"15","2 Warm Temperate - Small Temporarily Closed","bWTemp",16102721.1742301,"LC","MP","LC_MP","est"
"16","3 Subtropical - Estuarine Bay","cSubTrop",28152019.8774511,"CR","NP","CR_NP","est"
"17","3 Subtropical - Estuarine Lake","cSubTrop",818752767.461073,"EN","MP","EN_MP","est"
"18","3 Subtropical - Large Fluvially Dominated","cSubTrop",107658288.479826,"EN","PP","EN_PP","est"
"19","3 Subtropical - Large Temporarily Closed","cSubTrop",50512089.7559682,"LC","PP","LC_PP","est"
"20","3 Subtropical - Predominantly Open","cSubTrop",78499142.0166852,"LC","MP","LC_MP","est"
"21","3 Subtropical - Small Temporarily Closed","cSubTrop",20483903.6645557,"LC","MP","LC_MP","est"
"22","4 Tropical - Estuarine Lake","dTropical",81662947.7243529,"VU","MP","VU_MP","est"
