"","full_ecosystem_type_name","typenow_area","nat1990","nat2014","nat2018","nat2022","prpnat1990","prpnat2014","prpnat2018","prpnat2022","ard9022","nat40_9022","prplost9040_9022","ard9018","nat40_9018","prplost9040_9018","A3_24","A2b_24","A3_18","A2b_18"
"1","1 Cool Temperate - Arid Predominantly Closed",11622400,10180800,10136000,9737600,9618800,0.875963656387665,0.872109030837004,0.837830396475771,0.827608755506608,17562.5,9302675,0.0862530449473519,15828.5714285714,9389371.42857143,0.077737365573292,"LC","LC","LC","LC"
"2","1 Cool Temperate - Estuarine Lagoon",21792000,21375200,21350800,21291200,21281200,0.980873715124816,0.979754038179148,0.977019089574156,0.976560205580029,2937.5,21228325,0.00687128073655451,3000,21225200,0.00701747819903439,"LC","LC","LC","LC"
"3","1 Cool Temperate - Estuarine Lake",39902000,37065600,36571600,35999200,35879600,0.928915843817352,0.916535512004411,0.902190366397674,0.89919302290612,37062.5,35212475,0.0499958182249849,38085.7142857143,35161314.2857143,0.0513760930427598,"LC","LC","LC","LC"
"4","1 Cool Temperate - Large Fluvially Dominated",24193200,21716400,18898800,18490000,18314000,0.897624125787411,0.781161648727742,0.764264338739811,0.756989567316436,106325,16400150,0.244803466504577,115228.571428571,15954971.4285714,0.265303115222991,"LC","LC","LC","LC"
"5","1 Cool Temperate - Large Temporarily Closed",29813600,19752000,18363600,17065200,16900800,0.662516435452277,0.615947084552017,0.572396490192395,0.566882228244828,89100,15297000,0.225546780072904,95957.1428571429,14954142.8571429,0.242904877625412,"LC","LC","LC","LC"
"6","1 Cool Temperate - Predominantly Open",141046800,104780000,98650400,94694400,94032800,0.74287399643239,0.699416080336456,0.67136865210696,0.666678010419237,335850,87987500,0.160264363428135,360200,86770000,0.17188394731819,"LC","LC","LC","LC"
"7","1 Cool Temperate - Small Fluvially Dominated",40000,40000,40000,32800,31200,1,1,0.82,0.78,275,26250,0.34375,257.142857142857,27142.8571428571,0.321428571428571,"LC","VU","LC","VU"
"8","1 Cool Temperate - Small Temporarily Closed",5086000,3939200,3887200,3798000,3778400,0.774518285489579,0.764294140778608,0.746755800235942,0.742902084152576,5025,3687950,0.0637819861900894,5042.85714285714,3687057.14285714,0.0640086457003598,"LC","LC","LC","LC"
"9","2 Warm Temperate - Estuarine Bay",20660800,13412000,12608400,12031600,12001200,0.64915201734686,0.610257105242779,0.582339502826609,0.580868117401069,44087.5,11207625,0.164358410378765,49300,10947000,0.183790635252013,"LC","LC","LC","LC"
"10","2 Warm Temperate - Estuarine Lake",127636000,75049200,72544400,69278400,68941600,0.58799398288884,0.568369425553919,0.542781033564198,0.540142279607634,190862.5,65506075,0.127158250854106,206100,64744200,0.137309924689404,"LC","LC","LC","LC"
"11","2 Warm Temperate - Large Fluvially Dominated",5728800,5685600,5684800,5664800,5663600,0.992459153749476,0.992319508448541,0.98882837592515,0.988618907973747,687.5,5651225,0.00604597579850851,742.857142857143,5648457.14285714,0.00653279462903779,"LC","LC","LC","LC"
"12","2 Warm Temperate - Large Temporarily Closed",65765600,53310400,52090400,50428000,50242000,0.810612234967825,0.79206150327831,0.766783850523678,0.763955624216916,95887.5,48516025,0.0899332025270866,102942.857142857,48163257.1428571,0.0965504452628916,"LC","LC","LC","LC"
"13","2 Warm Temperate - Predominantly Open",146254400,108658800,103624400,99635600,98986800,0.742943802032623,0.708521589777812,0.681248564145762,0.676812458291853,302250,93546300,0.139082154413632,322257.142857143,92545942.8571429,0.148288561468166,"LC","LC","LC","LC"
"14","2 Warm Temperate - Small Fluvially Dominated",1212800,1212800,1212800,1159200,1152000,1,1,0.955804749340369,0.949868073878628,1900,1117800,0.0783311345646438,1914.28571428571,1117085.71428571,0.0789200904636261,"LC","LC","LC","LC"
"15","2 Warm Temperate - Small Temporarily Closed",15638000,14670800,14472400,14285200,14246400,0.938150658652002,0.925463614272925,0.913492774012022,0.91101163831692,13262.5,14007675,0.0452003299070262,13771.4285714286,13982228.5714286,0.0469348248610457,"LC","LC","LC","LC"
